ratio_profits_weights,name
1.0,inst_0
-0.8311743973039446,inst_1
-0.23064459877979268,inst_2
0.035506843771497223,inst_3
0.1488095508719489,inst_4
-0.21625350656803852,inst_5
-1.0,inst_6
-0.021996661788519885,inst_7
-0.24335901525729312,inst_8
-0.8087652532993436,inst_9
-0.9558144338970626,inst_10
1.0,inst_11
-0.4217922983376948,inst_12
0.5709255069040415,inst_13
0.3259848632478759,inst_14
-1.0,inst_15
0.3886244626411508,inst_16
-0.054511923804814885,inst_17
0.45666284094551723,inst_18
0.060673747465590115,inst_19
